qd1,qd2,phrase1,phrase2,label
2593,2594,not that it is now,not that it ever will be,routh
2595,2596,the monster i was married to has done ineradicable damage to my family,the disaster was worse than i knew when i was hospitalized,routh
2597,2598,terrible things had been going on for a long time without my knowing anything about them,tragic things involving my little girl,routh
2599,2600,i remember asking you if you would kill him for me,i told you i would pay,routh
2601,2602,i thought because you were so big you could do it,mercifully you did not tell me that i was crazy when i said that but sat there listening to my madness as though i were sane,routh
2603,2604,i thank you for that,but a part of me will never be sane again,routh
2605,2606,it ca not be,it could not be,routh
2607,2608,it should not be,stupidly i sentenced the wrong person to death,routh
2609,2610,the letter went on a single handwritten paragraph stretching loosely over three more big sheets of paper and it was signed sybil van buren,he remembered listening to her storysummoning up his concentration and listening like that to someone other than himself was as close as he had come to acting in a long time and may even have helped him to recover,routh
2611,2612,yes he remembered her and her story and her asking him to kill her husband as though he were a gangster in a movie rather than another patient in a psychiatric hospital who big as he was was as incapable as she of violently ending his own suffering with a gun,people go around killing people in movies all the time but the reason they make all those movies is that for 99,routh
2613,2614,9 percent of the audience it is impossible to do,and if it is that hard to kill someone else someone you have every reason to want to destroy imagine how hard it is to succeed in killing yourself,routh
2615,2616,he had known pegeens parents as good friends before pegeen was born and had seen her first in the hospital as a tiny infant nursing at her mother is breast,they had met when axler and the newly married staplefordshe from michigan she from kansasappeared together in a greenwich village church basement production of playboy of the western world,routh
